legid,class,userid,tripid,start_lat,start_lon,constart,end_lat,end_lon,start_name,start_country,Definition,Start_Place,end_name,end_country,Definition2,motid,leg_distance,worthwhileness_rating,transport_category,campaign,weekday,weekday_class,activity
#25:4515,Leg,kgF4dsYgK6RN1Qp0kzJVyWnDaUe2,#33:1850,50.847,4.381,50.8474.381,50.844,4.385,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,569,5,walking,BEL,Tuesday,Working_day,Walking
#23:19126,Leg,EUdjxPyGUTYY4a89ZYJLVGAN6f12,#30:8110,50.801,4.42,50.8014.42,50.799,4.421,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,570,5,walking,BEL,Thursday,Working_day,Walking
#22:5569,Leg,kgF4dsYgK6RN1Qp0kzJVyWnDaUe2,#32:2250,50.847,4.391,50.8474.391,50.845,4.385,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,571,3,walking,BEL,Wednesday,Working_day,Walking
#23:15723,Leg,vlBTTWAlYqTwugoby3qyjC9DUI33,#33:6529,50.847,4.381,50.8474.381,50.845,4.385,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,574,4,walking,BEL,Monday,Working_day,Walking
#23:26986,Leg,TtKfRLxsY2av6SFrPi3iBtsjfAi1,#32:11430,50.86,4.361,50.864.361,50.858,4.357,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,575,5,walking,BEL,Monday,Working_day,Walking
#23:4503,Leg,EZYvr1fxdtQkC9YLYuDXOMKpcQG2,#32:1840,50.848,4.404,50.8484.404,50.851,4.402,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,583,5,walking,ESP,Thursday,Working_day,Walking
#25:19902,Leg,Exu5AeRNwMNCDYhOQ8qNwOsxxnc2,#30:8492,50.835,4.338,50.8354.338,50.835,4.333,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,594,3,walking,BEL,Wednesday,Working_day,Walking
#22:33881,Leg,yiiLvQd5sbZ120ojUe5hI8BvO6u1,#31:14513,50.844,4.385,50.8444.385,50.846,4.378,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,598,4,walking,BEL,Monday,Working_day,Walking
#24:20537,Leg,ScbvqnrCywYbFcB3s6bMJNBf1v33,#30:8777,50.845,4.385,50.8454.385,50.847,4.381,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,598,3,walking,BEL,Friday,Working_day,Walking
#25:4233,Leg,yXPR9mf9wfMU0yjf89NcbtRMudf1,#30:1796,50.844,4.385,50.8444.385,50.847,4.381,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,605,4,walking,BEL,Tuesday,Working_day,Walking
#25:7570,Leg,kgF4dsYgK6RN1Qp0kzJVyWnDaUe2,#33:3090,50.847,4.391,50.8474.391,50.845,4.385,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,623,5,walking,BEL,Friday,Working_day,Walking
#23:7876,Leg,U5soJC7zkmbkpx0sJN993OUa8Hw2,#31:3262,50.845,4.34,50.8454.34,50.849,4.345,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,634,5,walking,BEL,Saturday,Weekend,Walking
